"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 56: 0053","Armenian Manuscripts","ark:/21198/zz0028xd2b","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0053.tif","53","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd2b",""
"Manuscript No. 56: 0054","Armenian Manuscripts","ark:/21198/zz0028xd3v","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0054.tif","54","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd3v",""
"Manuscript No. 56: 0055","Armenian Manuscripts","ark:/21198/zz0028xd4c","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0055.tif","55","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd4c",""
"Manuscript No. 56: 0056","Armenian Manuscripts","ark:/21198/zz0028xd5w","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0056.tif","56","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd5w",""
"Manuscript No. 56: 0057","Armenian Manuscripts","ark:/21198/zz0028xd6d","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0057.tif","57","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd6d",""
"Manuscript No. 56: 0058","Armenian Manuscripts","ark:/21198/zz0028xd7x","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0058.tif","58","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd7x",""
"Manuscript No. 56: 0059","Armenian Manuscripts","ark:/21198/zz0028xd8f","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0059.tif","59","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd8f",""
"Manuscript No. 56: 0060","Armenian Manuscripts","ark:/21198/zz0028xd9z","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0060.tif","60","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd9z",""
"Manuscript No. 56: 0061","Armenian Manuscripts","ark:/21198/zz0028xdbg","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0061.tif","61","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdbg",""
"Manuscript No. 56: 0062","Armenian Manuscripts","ark:/21198/zz0028xdc0","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0062.tif","62","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xdc0",""
