"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 9: page 65","Armenian Manuscripts","ark:/21198/zz00275wm3","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_065.tif","65","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wm3",""
"Manuscript No. 9: page 66","Armenian Manuscripts","ark:/21198/zz00275wnm","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_066.tif","66","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wnm",""
"Manuscript No. 9: page 67","Armenian Manuscripts","ark:/21198/zz00275wp4","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_067.tif","67","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wp4",""
"Manuscript No. 9: page 68","Armenian Manuscripts","ark:/21198/zz00275wqn","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_068.tif","68","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wqn",""
"Manuscript No. 9: page 69","Armenian Manuscripts","ark:/21198/zz00275wr5","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_069.tif","69","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wr5",""
"Manuscript No. 9: page 70","Armenian Manuscripts","ark:/21198/zz00275wsp","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_070.tif","70","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wsp",""
"Manuscript No. 9: page 71","Armenian Manuscripts","ark:/21198/zz00275wt6","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_071.tif","71","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wt6",""
"Manuscript No. 9: page 72","Armenian Manuscripts","ark:/21198/zz00275wvq","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_072.tif","72","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wvq",""
"Manuscript No. 9: page 73","Armenian Manuscripts","ark:/21198/zz00275ww7","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_073.tif","73","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275ww7",""
"Manuscript No. 9: page 74","Armenian Manuscripts","ark:/21198/zz00275wxr","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_074.tif","74","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wxr",""
"Manuscript No. 9: page 75","Armenian Manuscripts","ark:/21198/zz00275wz8","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_075.tif","75","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wz8",""
"Manuscript No. 9: page 76","Armenian Manuscripts","ark:/21198/zz00275x08","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_076.tif","76","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x08",""
"Manuscript No. 9: page 77","Armenian Manuscripts","ark:/21198/zz00275x1s","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_077.tif","77","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x1s",""
"Manuscript No. 9: page 78","Armenian Manuscripts","ark:/21198/zz00275x29","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_078.tif","78","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x29",""
"Manuscript No. 9: page 79","Armenian Manuscripts","ark:/21198/zz00275x3t","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_079.tif","79","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x3t",""
"Manuscript No. 9: page 80","Armenian Manuscripts","ark:/21198/zz00275x4b","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_080.tif","80","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x4b",""
"Manuscript No. 9: page 81","Armenian Manuscripts","ark:/21198/zz00275x5v","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_081.tif","81","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x5v",""
"Manuscript No. 9: page 82","Armenian Manuscripts","ark:/21198/zz00275x6c","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_082.tif","82","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x6c",""
"Manuscript No. 9: page 83","Armenian Manuscripts","ark:/21198/zz00275x7w","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_083.tif","83","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x7w",""
"Manuscript No. 9: page 84","Armenian Manuscripts","ark:/21198/zz00275x8d","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_084.tif","84","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x8d",""
"Manuscript No. 9: page 85","Armenian Manuscripts","ark:/21198/zz00275x9x","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_085.tif","85","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275x9x",""
"Manuscript No. 9: page 86","Armenian Manuscripts","ark:/21198/zz00275xbf","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_086.tif","86","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xbf",""
"Manuscript No. 9: page 87","Armenian Manuscripts","ark:/21198/zz00275xcz","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_087.tif","87","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xcz",""
"Manuscript No. 9: page 88","Armenian Manuscripts","ark:/21198/zz00275xdg","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_088.tif","88","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xdg",""
"Manuscript No. 9: page 89","Armenian Manuscripts","ark:/21198/zz00275xf0","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_089.tif","89","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xf0",""
"Manuscript No. 9: page 90","Armenian Manuscripts","ark:/21198/zz00275xgh","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_090.tif","90","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xgh",""
"Manuscript No. 9: page 91","Armenian Manuscripts","ark:/21198/zz00275xh1","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_091.tif","91","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xh1",""
"Manuscript No. 9: page 92","Armenian Manuscripts","ark:/21198/zz00275xjj","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_092.tif","92","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xjj",""
"Manuscript No. 9: page 93","Armenian Manuscripts","ark:/21198/zz00275xk2","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_093.tif","93","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xk2",""
"Manuscript No. 9: page 94","Armenian Manuscripts","ark:/21198/zz00275xmk","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_094.tif","94","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xmk",""
"Manuscript No. 9: page 95","Armenian Manuscripts","ark:/21198/zz00275xn3","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_095.tif","95","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275xn3",""
