"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_039.tif","39","","Page 37","","","","ark:/21198/n1x677","pw77w43t","ark:/21198/n1x677/pw77w43t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/pw77w43t"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_040.tif","40","","Page 38","","","","ark:/21198/n1x678","p2610p18","ark:/21198/n1x678/p2610p18","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/p2610p18"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_041.tif","41","","Page 39","","","","ark:/21198/n1x679","md08cv5d","ark:/21198/n1x679/md08cv5d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/md08cv5d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_042.tif","42","","Page 40","","","","ark:/21198/n1x680","g614hp1z","ark:/21198/n1x680/g614hp1z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/g614hp1z"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_043.tif","43","","Page 41","","","","ark:/21198/n1x681","r9598n03","ark:/21198/n1x681/r9598n03","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/r9598n03"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_044.tif","44","","Page 42","","","","ark:/21198/n1x682","k545md98","ark:/21198/n1x682/k545md98","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/k545md98"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_045.tif","45","","Page 43","","","","ark:/21198/n1x683","x5593c59","ark:/21198/n1x683/x5593c59","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/x5593c59"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_046.tif","46","","Page 44","","","","ark:/21198/n1x684","c9031r31","ark:/21198/n1x684/c9031r31","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/c9031r31"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_047.tif","47","","Page 45","","","","ark:/21198/n1x685","zj87847s","ark:/21198/n1x685/zj87847s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/zj87847s"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_048.tif","48","","Page 46","","","","ark:/21198/n1x686","6300vb66","ark:/21198/n1x686/6300vb66","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/6300vb66"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_049.tif","49","","Page 47","","","","ark:/21198/n1x687","0884z11z","ark:/21198/n1x687/0884z11z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/0884z11z"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_050.tif","50","","Page 48","","","","ark:/21198/n1x688","t8850w1h","ark:/21198/n1x688/t8850w1h","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/t8850w1h"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_051.tif","51","","Page 49","","","","ark:/21198/n1x689","bf04cv88","ark:/21198/n1x689/bf04cv88","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/bf04cv88"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_052.tif","52","","Page 50","","","","ark:/21198/n1x690","px593d13","ark:/21198/n1x690/px593d13","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/px593d13"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_053.tif","53","","Page 51","","","","ark:/21198/n1x691","kg43jz48","ark:/21198/n1x691/kg43jz48","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/kg43jz48"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_054.tif","54","","Page 52","","","","ark:/21198/n1x692","vs11sh9q","ark:/21198/n1x692/vs11sh9q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/vs11sh9q"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_055.tif","55","","Page 53","","","","ark:/21198/n1x693","8366cz20","ark:/21198/n1x693/8366cz20","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/8366cz20"
