Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0052,Armenian Manuscripts,ark:/21198/zz0029217t,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0052.tif,52,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029217t
Manuscript No.91: 0053,Armenian Manuscripts,ark:/21198/zz0029218b,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0053.tif,53,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029218b
Manuscript No.91: 0054,Armenian Manuscripts,ark:/21198/zz0029219v,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0054.tif,54,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029219v
Manuscript No.91: 0055,Armenian Manuscripts,ark:/21198/zz002921bc,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0055.tif,55,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921bc
Manuscript No.91: 0056,Armenian Manuscripts,ark:/21198/zz002921cw,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0056.tif,56,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921cw
Manuscript No.91: 0057,Armenian Manuscripts,ark:/21198/zz002921dd,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0057.tif,57,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921dd
Manuscript No.91: 0058,Armenian Manuscripts,ark:/21198/zz002921fx,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0058.tif,58,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921fx
Manuscript No.91: 0059,Armenian Manuscripts,ark:/21198/zz002921gf,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0059.tif,59,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921gf
Manuscript No.91: 0060,Armenian Manuscripts,ark:/21198/zz002921hz,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0060.tif,60,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921hz
Manuscript No.91: 0061,Armenian Manuscripts,ark:/21198/zz002921jg,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0061.tif,61,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921jg
Manuscript No.91: 0062,Armenian Manuscripts,ark:/21198/zz002921k0,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0062.tif,62,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921k0
Manuscript No.91: 0063,Armenian Manuscripts,ark:/21198/zz002921mh,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0063.tif,63,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921mh
Manuscript No.91: 0064,Armenian Manuscripts,ark:/21198/zz002921n1,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0064.tif,64,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921n1
Manuscript No.91: 0065,Armenian Manuscripts,ark:/21198/zz002921pj,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0065.tif,65,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921pj
Manuscript No.91: 0066,Armenian Manuscripts,ark:/21198/zz002921q2,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0066.tif,66,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921q2
Manuscript No.91: 0067,Armenian Manuscripts,ark:/21198/zz002921rk,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0067.tif,67,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921rk
Manuscript No.91: 0068,Armenian Manuscripts,ark:/21198/zz002921s3,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0068.tif,68,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921s3
Manuscript No.91: 0069,Armenian Manuscripts,ark:/21198/zz002921tm,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0069.tif,69,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921tm
Manuscript No.91: 0070,Armenian Manuscripts,ark:/21198/zz002921v4,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0070.tif,70,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921v4
Manuscript No.91: 0071,Armenian Manuscripts,ark:/21198/zz002921wn,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0071.tif,71,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921wn
Manuscript No.91: 0072,Armenian Manuscripts,ark:/21198/zz002921x5,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0072.tif,72,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921x5
Manuscript No.91: 0073,Armenian Manuscripts,ark:/21198/zz002921zp,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0073.tif,73,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002921zp
Manuscript No.91: 0074,Armenian Manuscripts,ark:/21198/zz0029220p,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0074.tif,74,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029220p
Manuscript No.91: 0075,Armenian Manuscripts,ark:/21198/zz00292216,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0075.tif,75,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292216
Manuscript No.91: 0076,Armenian Manuscripts,ark:/21198/zz0029222q,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0076.tif,76,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029222q
Manuscript No.91: 0077,Armenian Manuscripts,ark:/21198/zz00292237,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0077.tif,77,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292237
Manuscript No.91: 0078,Armenian Manuscripts,ark:/21198/zz0029224r,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0078.tif,78,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029224r
Manuscript No.91: 0079,Armenian Manuscripts,ark:/21198/zz00292258,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0079.tif,79,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292258
Manuscript No.91: 0080,Armenian Manuscripts,ark:/21198/zz0029226s,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0080.tif,80,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029226s
Manuscript No.91: 0081,Armenian Manuscripts,ark:/21198/zz00292279,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0081.tif,81,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292279
Manuscript No.91: 0082,Armenian Manuscripts,ark:/21198/zz0029228t,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0082.tif,82,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029228t
Manuscript No.91: 0083,Armenian Manuscripts,ark:/21198/zz0029229b,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0083.tif,83,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029229b
Manuscript No.91: 0084,Armenian Manuscripts,ark:/21198/zz002922bv,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0084.tif,84,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002922bv
