"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hg2q1","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2q1-1-master.tif","","","62","","","text","","","","","","page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2q1",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2rj","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2rj-1-master.tif","","","63","","","text","","","","","","page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2rj",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2s2","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2s2-1-master.tif","","","64","","","text","","","","","","page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2s2",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2tk","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2tk-1-master.tif","","","65","","","text","","","","","","page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2tk",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2v3","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2v3-1-master.tif","","","66","","","text","","","","","","page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2v3",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2wm","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2wm-1-master.tif","","","67","","","text","","","","","","page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2wm",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2x4","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2x4-1-master.tif","","","68","","","text","","","","","","page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2x4",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2zn","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2zn-1-master.tif","","","69","","","text","","","","","","page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2zn",""
"Picart (Bernard) Collection","ark:/21198/zz001hg30n","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg30n-1-master.tif","","","70","","","text","","","","","","page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg30n",""
"Picart (Bernard) Collection","ark:/21198/zz001hg315","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg315-1-master.tif","","","71","","","text","","","","","","page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg315",""
"Picart (Bernard) Collection","ark:/21198/zz001hg32p","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg32p-1-master.tif","","","72","","","text","","","","","","page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg32p",""
"Picart (Bernard) Collection","ark:/21198/zz001hg336","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg336-1-master.tif","","","73","","","text","","","","","","page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg336",""
