"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh654","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh654-1-master.tif","","","55","","","text","","","","","","page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh654"
"Picart (Bernard) Collection","ark:/21198/zz001hh66n","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh66n-1-master.tif","","","56","","","text","","","","","","page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh66n"
"Picart (Bernard) Collection","ark:/21198/zz001hh675","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh675-1-master.tif","","","57","","","text","","","","","","page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh675"
"Picart (Bernard) Collection","ark:/21198/zz001hh68p","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh68p-1-master.tif","","","58","","","text","","","","","","page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh68p"
"Picart (Bernard) Collection","ark:/21198/zz001hh696","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh696-1-master.tif","","","59","","","text","","","","","","page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh696"
"Picart (Bernard) Collection","ark:/21198/zz001hh6bq","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6bq-1-master.tif","","","60","","","text","","","","","","page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6bq"
"Picart (Bernard) Collection","ark:/21198/zz001hh6c7","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6c7-1-master.tif","","","61","","","text","","","","","","page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6c7"
"Picart (Bernard) Collection","ark:/21198/zz001hh6dr","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6dr-1-master.tif","","","62","","","text","","","","","","page 041","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6dr"
"Picart (Bernard) Collection","ark:/21198/zz001hh6f8","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6f8-1-master.tif","","","63","","","text","","","","","","page 042","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6f8"
"Picart (Bernard) Collection","ark:/21198/zz001hh6gs","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6gs-1-master.tif","","","64","","","text","","","","","","page 043","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6gs"
"Picart (Bernard) Collection","ark:/21198/zz001hh6h9","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh6h9-1-master.tif","","","65","","","text","","","","","","page 044","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh6h9"
