"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_072.tif","72","72","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/5771kf0x","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F5771kf0x",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_073.tif","73","73","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/5h76tw04","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F5h76tw04",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_074.tif","74","74","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/5z324c1s","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F5z324c1s",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_075.tif","75","75","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/qt623n4b","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fqt623n4b",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_076.tif","76","76","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/rs75m44d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Frs75m44d",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_077.tif","77","77","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/2168r546","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F2168r546",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_078.tif","78","78","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/pp03hg2f","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fpp03hg2f",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_079.tif","79","79","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/rk11hv6b","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Frk11hv6b",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_080.tif","80","80","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/v036466f","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fv036466f",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_081.tif","81","81","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/s2520h8t","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fs2520h8t",""
