"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Alternate Identifier.local","Title","Relation.rectoVerso","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0s4","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0257.tif","257","","","","","","","pd","1147_1391_0257","page 256","r","1147_1391_0257.jpg","1391_0257.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0s4",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0tn","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0258.tif","258","","","","","","","pd","1147_1391_0258","page 255","v","1147_1391_0258.jpg","1391_0258.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0tn",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0v5","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0259.tif","259","","","","","","","pd","1147_1391_0259","page 258","r","1147_1391_0259.jpg","1391_0259.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0v5",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0wp","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0260.tif","260","","","","","","","pd","1147_1391_0260","page 257","v","1147_1391_0260.jpg","1391_0260.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0wp",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0x6","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0261.tif","261","","","","","","","pd","1147_1391_0261","page 260","r","1147_1391_0261.jpg","1391_0261.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0x6",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0zq","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0262.tif","262","","","","","","","pd","1147_1391_0262","page 259","v","1147_1391_0262.jpg","1391_0262.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0zq",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r10q","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0263.tif","263","","","","","","","pd","1147_1391_0263","page 262","r","1147_1391_0263.jpg","1391_0263.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r10q",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r117","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0264.tif","264","","","","","","","pd","1147_1391_0264","page 261","v","1147_1391_0264.jpg","1391_0264.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r117",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r12r","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0265.tif","265","","","","","","","pd","1147_1391_0265","page 264","r","1147_1391_0265.jpg","1391_0265.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r12r",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r138","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0266.tif","266","","","","","","","pd","1147_1391_0266","page 263","v","1147_1391_0266.jpg","1391_0266.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r138",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r14s","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0267.tif","267","","","","","","","pd","1147_1391_0267","page 266","r","1147_1391_0267.jpg","1391_0267.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r14s",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r159","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0268.tif","268","","","","","","","pd","1147_1391_0268","page 265","v","1147_1391_0268.jpg","1391_0268.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r159",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r16t","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0269.tif","269","","","","","","","pd","1147_1391_0269","page 268","r","1147_1391_0269.jpg","1391_0269.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r16t",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r17b","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0270.tif","270","","","","","","","pd","1147_1391_0270","page 267","v","1147_1391_0270.jpg","1391_0270.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r17b",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r18v","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0271.tif","271","","","","","","","pd","1147_1391_0271","page 270","r","1147_1391_0271.jpg","1391_0271.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r18v",""
