"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00295d5f","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_024v.tif","46","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d5f","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 24v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d6z","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_025r.tif","47","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d6z","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 25r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d7g","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_025v.tif","48","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d7g","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 25v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d80","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_026r.tif","49","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d80","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 26r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d9h","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_026v.tif","50","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d9h","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 26v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295db1","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_027r.tif","51","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295db1","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 27r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dcj","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_027v.tif","52","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dcj","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 27v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dd2","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_028r.tif","53","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dd2","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 28r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dfk","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_028v.tif","54","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dfk","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 28v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295dg3","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_029r.tif","55","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295dg3","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 29r","","","","","","","","","","","","succeeded",""
