"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Title","AltTitle.uniform","Subject","Subject.conceptTopic","Publisher.publisherName","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdm2","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdm2_2403980_master.tif","57","","","","","","private","","Page 54","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdm2",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdnk","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdnk_2403983_master.tif","58","","","","","","private","","Page 55","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdnk",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdp3","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdp3_2403986_master.tif","59","","","","","","private","","Page 56","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdp3",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdqm","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdqm_2403989_master.tif","60","","","","","","private","","Page 57","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdqm",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdr4","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdr4_2403992_master.tif","61","","","","","","private","","Page 58","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdr4",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdsn","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdsn_2403998_master.tif","62","","","","","","private","","Page 59","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdsn",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdt5","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdt5_2404001_master.tif","63","","","","","","private","","Page 60","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdt5",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdvp","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdvp_2404004_master.tif","64","","","","","","private","","Page 61","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdvp",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdw6","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdw6_2404007_master.tif","65","","","","","","private","","Page 62","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdw6",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdxq","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdxq_2404010_master.tif","66","","","","","","private","","Page 63","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdxq",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdz7","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdz7_2404013_master.tif","67","","","","","","private","","Page 64","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdz7",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff07","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff07_2404016_master.tif","68","","","","","","private","","Page 65","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff07",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff1r","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff1r_2404019_master.tif","69","","","","","","private","","Page 66","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff1r",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff28","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff28_2404022_master.tif","70","","","","","","private","","Page 67","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff28",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff3s","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff3s_2404025_master.tif","71","","","","","","private","","Page 68","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff3s",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff49","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff49_2404028_master.tif","72","","","","","","private","","Page 69","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff49",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff5t","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff5t_2404031_master.tif","73","","","","","","private","","Page 70","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff5t",""
