Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin
American College of Neuropsychopharmacology,ark:/21198/z1903trm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_072.tif,73,,,,,,,,,,,,,,,,,,,Page 72,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z15b1sfm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_073.tif,74,,,,,,,,,,,,,,,,,,,Page 73,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z11k11tm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_074.tif,75,,,,,,,,,,,,,,,,,,,Page 74,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1wt0j8f,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_075.tif,76,,,,,,,,,,,,,,,,,,,Page 75,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1s19sgk,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_076.tif,77,,,,,,,,,,,,,,,,,,,Page 76,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1n891qs,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_077.tif,78,,,,,,,,,,,,,,,,,,,Page 77,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1hh890g,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_078.tif,79,,,,,,,,,,,,,,,,,,,Page 78,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1cr7jc3,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_079.tif,80,,,,,,,,,,,,,,,,,,,Page 79,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1835h0h,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_080.tif,81,,,,,,,,,,,,,,,,,,,Page 80,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z14b4rbp,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_081.tif,82,,,,,,,,,,,,,,,,,,,Page 81,,,,,,,,,,,,,,
