"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b9j63","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j63_1997299_master.tif","232","","page 231","MS_1951_012__0238.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j63",""
"ark:/21198/zz002b9j7m","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j7m_1997302_master.tif","233","","page 232","MS_1951_012__0239.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j7m",""
"ark:/21198/zz002b9j84","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j84_1997313_master.tif","234","","page 233","MS_1951_012__0240.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j84",""
"ark:/21198/zz002b9j9n","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j9n_1997318_master.tif","235","","page 234","MS_1951_012__0241.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j9n",""
"ark:/21198/zz002b9jb5","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jb5_1997321_master.tif","236","","page 235","MS_1951_012__0242.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jb5",""
"ark:/21198/zz002b9jcp","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jcp_1997324_master.tif","237","","page 236","MS_1951_012__0243.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jcp",""
"ark:/21198/zz002b9jd6","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jd6_1997327_master.tif","238","","page 237","MS_1951_012__0244.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jd6",""
"ark:/21198/zz002b9jfq","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jfq_1997330_master.tif","239","","page 238","MS_1951_012__0245.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jfq",""
"ark:/21198/zz002b9jg7","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jg7_1997333_master.tif","240","","page 239","MS_1951_012__0246.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jg7",""
"ark:/21198/zz002b9jhr","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jhr_1997336_master.tif","241","","page 240","MS_1951_012__0247.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jhr",""
"ark:/21198/zz002b9jj8","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jj8_1997339_master.tif","242","","page 243","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jj8",""
"ark:/21198/zz002b9jm9","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jm9_1999519_master.tif","243","","page 245","MS_1951_012__0250.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jm9",""
"ark:/21198/zz002b9jnt","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jnt_1999523_master.tif","244","","page 246","MS_1951_012__0251.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jnt",""
"ark:/21198/zz002b9jpb","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jpb_1999531_master.tif","245","","page 247","MS_1951_012__0252.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jpb",""
"ark:/21198/zz002b9jqv","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jqv_1999537_master.tif","246","","page 248","MS_1951_012__0253.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jqv",""
"ark:/21198/zz002b9jrc","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jrc_1999540_master.tif","247","","page 249","MS_1951_012__0254.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jrc",""
"ark:/21198/zz002b9jsw","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jsw_1999546_master.tif","248","","page 250","MS_1951_012__0255.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jsw",""
"ark:/21198/zz002b9jtd","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jtd_1999551_master.tif","249","","page 251","MS_1951_012__0256.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jtd",""
"ark:/21198/zz002b9jvx","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jvx_1999557_master.tif","250","","page 252","MS_1951_012__0257.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jvx",""
"ark:/21198/zz002b9jwf","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9jwf_1999562_master.tif","251","","page 253","MS_1951_012__0258.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9jwf",""
