"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL"
"DIYALoG","ark:/21198/z1zk73f5","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_071.tif","71","","","","","","","","","","","Page 71","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk73f5"
"DIYALoG","ark:/21198/z1tx525m","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_072.tif","72","","","","","","","","","","","Page 72","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx525m"
"DIYALoG","ark:/21198/z1q549c9","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_073.tif","73","","","","","","","","","","","Page 73","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q549c9"
"DIYALoG","ark:/21198/z1kd3jnk","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_074.tif","74","","","","","","","","","","","Page 74","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3jnk"
"DIYALoG","ark:/21198/z1fn2sz9","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_075.tif","75","","","","","","","","","","","Page 75","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn2sz9"
"DIYALoG","ark:/21198/z19w2298","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_076.tif","76","","","","","","","","","","","Page 76","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2298"
"DIYALoG","ark:/21198/z16419hz","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_077.tif","77","","","","","","","","","","","Page 77","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16419hz"
"DIYALoG","ark:/21198/z12c0js7","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_078.tif","78","","","","","","","","","","","Page 78","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0js7"
"DIYALoG","ark:/21198/z1xp8rqq","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_079.tif","79","","","","","","","","","","","Page 79","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8rqq"
"DIYALoG","ark:/21198/z1sx80zx","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_080.tif","80","","","","","","","","","","","Page 80","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx80zx"
