"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9f0","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9f0_1272348_master.tif","51","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 51","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9f0"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9gh","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9gh_1272351_master.tif","52","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 52","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9gh"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9h1","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9h1_1272354_master.tif","53","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 53","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9h1"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9jj","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9jj_1272357_master.tif","54","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 54","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9jj"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9k2","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9k2_1272360_master.tif","55","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 55","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9k2"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9mk","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9mk_1272363_master.tif","56","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 56","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9mk"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9n3","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9n3_1272366_master.tif","57","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 57","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9n3"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9pm","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9pm_1272369_master.tif","58","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 58","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9pm"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9q4","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9q4_1272372_master.tif","59","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 59","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9q4"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9rn","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9rn_1272375_master.tif","60","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 60","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9rn"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xkb","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xkb_1273657_master.tif","1","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xkb"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xmv","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xmv_1273660_master.tif","2","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xmv"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xnc","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xnc_1273663_master.tif","3","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xnc"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xpw","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xpw_1273666_master.tif","4","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xpw"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xqd","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xqd_1273669_master.tif","5","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xqd"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xrx","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xrx_1273672_master.tif","6","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xrx"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xsf","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xsf_1273675_master.tif","7","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xsf"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xtz","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xtz_1273678_master.tif","8","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xtz"
