"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1pc4qc1","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_063.tif","63","","","","","","Page 63","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4qc1",""
"Iranian National Baha'i Archives","ark:/21198/z1jm3zpr","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_064.tif","64","","","","","","Page 64","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm3zpr",""
"Iranian National Baha'i Archives","ark:/21198/z1dz1xcr","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_065.tif","65","","","","","","Page 65","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1xcr",""
"Iranian National Baha'i Archives","ark:/21198/z19615kt","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_066.tif","66","","","","","","Page 66","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19615kt",""
"Iranian National Baha'i Archives","ark:/21198/z15f0dtn","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_067.tif","67","","","","","","Page 67","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0dtn",""
"Iranian National Baha'i Archives","ark:/21198/z11n9p3s","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_068.tif","68","","","","","","Page 68","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9p3s",""
"Iranian National Baha'i Archives","ark:/21198/z1ww95pc","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_069.tif","69","","","","","","Page 69","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww95pc",""
"Iranian National Baha'i Archives","ark:/21198/z1s48f0t","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_070.tif","70","","","","","","Page 70","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48f0t",""
"Iranian National Baha'i Archives","ark:/21198/z1nc7p7n","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_071.tif","71","","","","","","Page 71","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7p7n",""
"Iranian National Baha'i Archives","ark:/21198/z1hq5mzp","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_072.tif","72","","","","","","Page 72","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5mzp",""
