Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz000s4w7t,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w7t-1-master.tif,,,265,,,still image,,,,,,"Maniere d'alumer le FEU SACRÉ, chez les PERUVIENS, la Veïlle de la grande FÊTE du SOLEÏL, nommée le grand RAMY.",r,,"Maniere d'alumer le FEU SACRÉ, chez les PERUVIENS, la Veïlle de la grande FÊTE du SOLEÏL, nommée le grand RAMY.Le premier jour de la grande FÊTE du SOLEÏL, L'YNCAS lui presente un Vase plein de Liqueur, et l'invite a boire.B.Picart, invenit 1722.",page 192a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w8b,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w8b-1-master.tif,,,266,,,text,,,,,,page 192b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w9v,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w9v-1-master.tif,,,267,,,text,,,,,,page 193,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wbc,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wbc-1-master.tif,,,268,,,text,,,,,,page 194,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wdd,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wdd-1-master.tif,,,269,,,text,,,,,,page 194a,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wgf,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wgf-1-master.tif,,,270,,,still image,,,,,,"SACRIFICE d'un AGNEAU noir, le jour de la grande FÊTE du SOLEÏL.",v,,"SACRIFICE d'un AGNEAU noir, le jour de la grande FÊTE du SOLEÏL.FESTIN à L'HONNEUR du SOLEÏL, le jour du grand RAMY.B. Picart invenit 1723.",page 194b,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wk0,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wk0-1-master.tif,,,271,,,text,,,,,,page 195,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wn1,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wn1-1-master.tif,,,272,,,text,,,,,,page 196,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4wq2,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4wq2-1-master.tif,,,273,,,text,,,,,,page 197,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4ws3,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4ws3-1-master.tif,,,274,,,text,,,,,,page 198,v,,,,,,,,,,,,,,,,,,,
