"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rsj73","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj73-1-master.tif","","","145","","","text|~|text","","","","","","Page 073","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj73",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj8m","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj8m-1-master.tif","","","146","","","text","","","","","","Page 074","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj8m",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj94","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj94-1-master.tif","","","147","","","text","","","","","","Page 075","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj94",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjbn","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjbn-1-master.tif","","","148","","","text","","","","","","Page 076","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjbn",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjc5","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjc5-1-master.tif","","","149","","","text","","","","","","Page 077","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjc5",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjdp","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjdp-1-master.tif","","","150","","","text","","","","","","Page 078","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjdp",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjf6","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjf6-1-master.tif","","","151","","","text","","","","","","Page 079","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjf6",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjgq","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjgq-1-master.tif","","","152","","","text","","","","","","Page 080","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjgq",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjh7","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjh7-1-master.tif","","","153","","","text","","","","","","Page 081","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjh7",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjjr","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjjr-1-master.tif","","","154","","","text","","","","","","Page 082","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjjr",""
"Picart (Bernard) Collection","ark:/21198/zz000rsjk8","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsjk8-1-master.tif","","","155","","","text","","","","","","Page 083","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsjk8",""
