"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002k07c6","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_033.tif","34","","","","","","","","copyrighted","","Y","","","","musicmss_027_033","musicmss_027_033","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07c6",""
"Music Library Manuscripts","ark:/21198/zz002k07dq","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_034.tif","35","","","","","","","","copyrighted","","Y","","","","musicmss_027_034","musicmss_027_034","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07dq",""
"Music Library Manuscripts","ark:/21198/zz002k07f7","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_035.tif","36","","","","","","","","copyrighted","","Y","","","","musicmss_027_035","musicmss_027_035","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07f7",""
"Music Library Manuscripts","ark:/21198/zz002k07gr","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_036.tif","37","","","","","","","","copyrighted","","Y","","","","musicmss_027_036","musicmss_027_036","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07gr",""
"Music Library Manuscripts","ark:/21198/zz002k07h8","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_037.tif","38","","","","","","","","copyrighted","","Y","","","","musicmss_027_037","musicmss_027_037","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07h8",""
"Music Library Manuscripts","ark:/21198/zz002k07js","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_038.tif","39","","","","","","","","copyrighted","","Y","","","","musicmss_027_038","musicmss_027_038","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07js",""
"Music Library Manuscripts","ark:/21198/zz002k07k9","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_039.tif","40","","","","","","","","copyrighted","","Y","","","","musicmss_027_039","musicmss_027_039","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07k9",""
"Music Library Manuscripts","ark:/21198/zz002k07mt","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_040.tif","41","","","","","","","","copyrighted","","Y","","","","musicmss_027_040","musicmss_027_040","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07mt",""
"Music Library Manuscripts","ark:/21198/zz002k07nb","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_041.tif","42","","","","","","","","copyrighted","","Y","","","","musicmss_027_041","musicmss_027_041","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07nb",""
"Music Library Manuscripts","ark:/21198/zz002k07pv","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_042.tif","43","","","","","","","","copyrighted","","Y","","","","musicmss_027_042","musicmss_027_042","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07pv",""
"Music Library Manuscripts","ark:/21198/zz002k07qc","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_043.tif","44","","","","","","","","copyrighted","","Y","","","","musicmss_027_043","musicmss_027_043","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07qc",""
"Music Library Manuscripts","ark:/21198/zz002k07rw","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_044.tif","45","","","","","","","","copyrighted","","Y","","","","musicmss_027_044","musicmss_027_044","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07rw",""
"Music Library Manuscripts","ark:/21198/zz002k07sd","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_045.tif","46","","","","","","","","copyrighted","","Y","","","","musicmss_027_045","musicmss_027_045","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07sd",""
"Music Library Manuscripts","ark:/21198/zz002k07tx","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_046.tif","47","","","","","","","","copyrighted","","Y","","","","musicmss_027_046","musicmss_027_046","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07tx",""
"Music Library Manuscripts","ark:/21198/zz002k07vf","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_047.tif","48","","","","","","","","copyrighted","","Y","","","","musicmss_027_047","musicmss_027_047","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07vf",""
"Music Library Manuscripts","ark:/21198/zz002k07wz","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_048.tif","49","","","","","","","","copyrighted","","Y","","","","musicmss_027_048","musicmss_027_048","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07wz",""
"Music Library Manuscripts","ark:/21198/zz002k07xg","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_049.tif","50","","","","","","","","copyrighted","","Y","","","","musicmss_027_049","musicmss_027_049","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07xg",""
"Music Library Manuscripts","ark:/21198/zz002k07z0","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_050.tif","51","","","","","","","","copyrighted","","Y","","","","musicmss_027_050","musicmss_027_050","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07z0",""
"Music Library Manuscripts","ark:/21198/zz002k0800","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_051.tif","52","","","","","","","","copyrighted","","Y","","","","musicmss_027_051","musicmss_027_051","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0800",""
"Music Library Manuscripts","ark:/21198/zz002k081h","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_052.tif","53","","","","","","","","copyrighted","","Y","","","","musicmss_027_052","musicmss_027_052","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k081h",""
"Music Library Manuscripts","ark:/21198/zz002k0821","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_053.tif","54","","","","","","","","copyrighted","","Y","","","","musicmss_027_053","musicmss_027_053","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0821",""
"Music Library Manuscripts","ark:/21198/zz002k083j","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_054.tif","55","","","","","","","","copyrighted","","Y","","","","musicmss_027_054","musicmss_027_054","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k083j",""
