"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_014.tif","Page","Page 14","14","ark:/21198/z1dv3np6","ark:/21198/z1tx5r6b","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5r6b"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_015.tif","Page","Page 15","15","ark:/21198/z1dv3np6","ark:/21198/z1q550fv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q550fv"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_016.tif","Page","Page 16","16","ark:/21198/z1dv3np6","ark:/21198/z1kd47pp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd47pp"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_017.tif","Page","Page 17","17","ark:/21198/z1dv3np6","ark:/21198/z1fn3h0t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3h0t"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_001.tif","Page","Page 1","1","ark:/21198/z1932wzs","ark:/21198/z19w2rb0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2rb0"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_002.tif","Page","Page 2","2","ark:/21198/z1932wzs","ark:/21198/z16420kh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16420kh"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_003.tif","Page","Page 3","3","ark:/21198/z1932wzs","ark:/21198/z12f9z91","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9z91"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_004.tif","Page","Page 4","4","ark:/21198/z1932wzs","ark:/21198/z1xp9ftq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9ftq"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_005.tif","Page","Page 5","5","ark:/21198/z1932wzs","ark:/21198/z1sx8q2z","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8q2z"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_006.tif","Page","Page 6","6","ark:/21198/z1932wzs","ark:/21198/z1p57z93","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57z93"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_007.tif","Page","Page 7","7","ark:/21198/z1932wzs","ark:/21198/z1jd76m6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd76m6"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260718_008.tif","Page","Page 8","8","ark:/21198/z1932wzs","ark:/21198/z1dn6fwg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6fwg"
