"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Visibility","Thumbnail","Subject.conceptTopic","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Name.subject","Subject","Subject.descriptiveTopic","Name.repository","Rights.servicesContact","Language","Name.photographer","Name.donor","Name.correspondent","Subject geographic","Name.recipient","Rights.rightsHolderContact","Name.creator","Local identifier","Title","Description.abstract","Description.note","Alt ID.local","Summary","Date.normalized","Date.creation","Format.extent","Coverage.geographic","Description.caption","Description.latitude","Description.longitude","Alt ID.url","AltTitle.other","Note","Relation.isPartOf","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2x2/q706bj6t","ark:/21198/zz0025p2x2","","","Page","gordo/image/yrlsc_gordonphotos_0059.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2x2%2Fq706bj6t"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2zk/6p63gd12","ark:/21198/zz0025p2zk","","","Page","gordo/image/yrlsc_gordonphotos_0060_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2zk%2F6p63gd12"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2zk/pc811225","ark:/21198/zz0025p2zk","","","Page","gordo/image/yrlsc_gordonphotos_0060.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2zk%2Fpc811225"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p334/1j443x6q","ark:/21198/zz0025p334","","","Page","gordo/image/yrlsc_gordonphotos_0064.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p334%2F1j443x6q"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p334/cv76hn1z","ark:/21198/zz0025p334","","","Page","gordo/image/yrlsc_gordonphotos_0064_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p334%2Fcv76hn1z"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p355/vw45z66c","ark:/21198/zz0025p355","","","Page","gordo/image/yrlsc_gordonphotos_0066_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p355%2Fvw45z66c"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p355/xg42xq0f","ark:/21198/zz0025p355","","","Page","gordo/image/yrlsc_gordonphotos_0066.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p355%2Fxg42xq0f"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p376/2148qj9p","ark:/21198/zz0025p376","","","Page","gordo/image/yrlsc_gordonphotos_0068.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p376%2F2148qj9p"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p376/4n16kb0d","ark:/21198/zz0025p376","","","Page","gordo/image/yrlsc_gordonphotos_0068_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p376%2F4n16kb0d"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p397/0s847g1n","ark:/21198/zz0025p397","","","Page","gordo/image/yrlsc_gordonphotos_0070.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p397%2F0s847g1n"
