Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z1db9txh,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Let Us Give Thanks to God for the Life of Myrna Wharton,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jbk,Ephemera Collection,,"December 8, 2000",2000-12-08,13.1939,59.5432,"Booklet for the funeral service of Myrna Wharton, late of No. 8 Gibbons Brow, Christ Church, held at St. Patrick's Roman Catholic Cathedral, Jemmotts Lane, on December 8, 2000, at 2:30 pm.",14 x 22 cm,13 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1db9txh/manifest
ark:/21198/z1db9tzz,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Presentation of Insignia of the National Honours and Awards 2000,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jm5,Ephemera Collection,,"November 30, 2000",2000-11-30,13.1939,59.5432,"Booklet with information and the program for the presentation of insignia of the national honors and awards 2000 at the Government House on November 30, 2000. It contains the names of the awardees and bios.",20.7 cm x 15 cm,47 pages,,Program booklets|~|Event programs|~|Awards presentations,,Collection C319|~|Box KQ|~|Folder 10,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Awards ceremonies|~|Celebrations|~|History--Anniversaries, etc.",Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1db9tzz/manifest
ark:/21198/z1db9v0t,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,One Man Theatre: ''Under Milk Wood'',,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z918sp,Ephemera Collection,Insert at the end of the item lists and thanks sponsors of the performance in the show in Barbados.,Between 1960 and 1970,1960/1970,13.1939,59.5432,"Booklet with the program for a ""One Man Theatre"" entitled ""Under Milk Wood"" presented by Brian D. Barnes. No date provided.",20.8 cm x 16.5 cm,5 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 2,Barbados Arts Council,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1db9v0t/manifest
ark:/21198/z1df8j6f,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Courtyard Concert: Jazz in June,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g759c6,Ephemera Collection,,"June 17, 1975",1975-06-17,13.1939,59.5432,"Program for a jazz concert held at the Barbados Museum on Tuesday June 17, 1975 as part of the Courtyard Concerts series.",21.7 cm x 14.5 cm,4 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Barbados Museum and Historical Society,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Music|~|Jazz,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8j6f/manifest
ark:/21198/z1df8j7w,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,State Service for the Centenary of the Death of Samuel Jackman Prescod,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3tc0,Ephemera Collection,,"September 26, 1971",1971-09-26,13.1939,59.5432,"Booklet for the state service at St. Mary's Church on the occasion of the centenary of the death of Samual Jackman Prescod on September 26, 1971.",20.3 cm x 16.1 cm,11 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box KQ|~|Folder 6,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Memorial services|~|Centenaries,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8j7w/manifest
ark:/21198/z1dj77n6,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Invitation from the Government of Trinidad and Tobago,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm67rw,Ephemera Collection,,"July 22, 1963",1963-07-22,10.6918,61.2225,Invitation from the Government of Trinidad and Tobago for the Premier of Barbados and Mrs. Barrow for a reception in honour of the Meeting of Heads of Governments. Held at the Trinidad Hilton on 22 July 1963.,12.2 cm x 17.6 cm,1 page,,invitations,,Collection C319|~|Box A-B|~|Folder 13,Government of Trinidad and Tobago,,,Trinidad and Tobago,Government of Trinidad and Tobago,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dinners and dining|~|Prime ministers|~|Government,Trinidad and Tobago,20th Century,paged,Government of Trinidad and Tobago,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj77n6/manifest
ark:/21198/z1dj77pn,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Official Opening of the Deep Water Harbour,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp91km,Ephemera Collection,,"May 6, 1961",1961-05-06,13.1939,59.5432,"Program for the ?fficial ?pening of the deep water harbour in Barbados by the Prime Minister of the West Indies Federation, Sir Grantley Adams on 6th May 1961.",17.1 cm x 13 cm,6 pages,,programs (documents)|~|booklets,,Collection C319|~|Box C-Ch,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Politics and government|~|Transportation|~|Socioeconomic conditions and development -- Infrastructure (Economics),Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj77pn/manifest
ark:/21198/z1dj77q3,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Service at St. Michael's Cathedral  for the Late Sir Winston Scott G.C.M.G., G.C.V.O",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63g5q,Ephemera Collection,,"August 15, 1976",1976-04-15,13.1939,59.5432,"Booklet for the funeral service of Sir Winston Scott that took place at the St. Michael's Cathedral. Sir Winston Scott was the first native-born and second Governor-General of Barbados from 18th May 1967 to 9th August, 1976.",16.5 x 21.5 cm,4 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj77q3/manifest
ark:/21198/z1dj77rj,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Programme of the Barbados Inter-School Athletic Union Athletic Sports 1956,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26ss3,Ephemera Collection,,"May 25, 1956",1956-05-25,13.1939,59.5432,"Booklet containing the program for athletic sports competitions held by the Barbados Inter-School Athletic Union. The event took place at Kensington Oval on May 25, 1956. Participating schools included: Harrison College, Alleyne School, Combermere School, Lodge School, Boys' Foundation School, and Coleridge and Parry School. The booklet contains the titles of each competition and names of previous record holders and their records.",20.1 cm x 16.2 cm,12 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 9,Barbados Inter-School Athletic Union,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Competitions|~|Athletics|~|Sports records|~|Athletics--Commonwealth nations|~|Sports tournaments,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj77rj/manifest
ark:/21198/z1dn5z2j,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""During a Lifetime"": The Works of Kathleen C. Hawkins",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39rrc,Ephemera Collection,,1989,1989,13.1939,59.5432,"Booklet for ""During A Lifetime"" exhibit of art by Kathleen C. Hawkins. Held at the Queen's Park Gallery from 25 June - 18 July, 1989.",21.5 cm x 15 cm,11 pages,,exhibition catalogs,,Collection C319|~|Box A-B|~|Folder 7,National Cultural Foundation,,,Barbados,National Cultural Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Exhibitions|~|Arts, Caribbean|~|Painters in art",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn5z2j/manifest
ark:/21198/z1dn5z30,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Books R Tremendous Advertisement,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709x7s,Ephemera Collection,,2007,2007,13.1939,59.5432,"Flyer advertising Books R Tremendous, described as a ""Customer Member Book Club,"" that offers educational books and material to members and the public.",10 x 22.5 cm,2 pages,,Fliers|~|Advertisements,,Collection C319|~|Box D-F,Books R Tremendous,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Exhibitions|~|Book clubs,,21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn5z30/manifest
ark:/21198/z1dn5z4f,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""When Tomorrow Comes--What then? Coping with Complexity and Uncertainty to Achieve Sustainability"": Lecture by Dr. Robin Mahon",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd000q,Ephemera Collection,,"May 3, 2005",2005-05-03,13.1939,59.5432,"Brochure for the lecture ""When Tomorrow Comes--What then?"" delivered by Dr. Robin Mahon as part of the ""Preserving Paradise Lecture Series 2005."" This series of lectures was organized to commemorate the life and work of the late Dr. Colin Hudson. The event took place on May 3, 2005, at the Solidarity House.",21.7 cm x 14 cm,7 pages,,Brochures|~|Event programs|~|Lectures,,Collection C319|~|Box KQ|~|Folder 2,Barbados Museum & Historical Society|~|University of West Indies|~|Department of Biological and Chemical Sciences,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Commemorations|~|Regional development,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn5z4f/manifest
ark:/21198/z1dn5z5w,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Sitting Arrangements for the Dinner on the Occasion of the Visit of H. R. H. The Prince of Wales,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm39nj,Ephemera Collection,,"October 22, 1970",1970-10-22,13.1939,59.5432,"Booklet containing the sitting arrangements for the dinner at the Government House for the occasion of the visit of Charles, Prince of Wales on October 22, 1970.",20.3 cm x 14 cm,3 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 5,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Dinners and dining|~|Commonwealth countries|~|West Indies, British--Politics and government|~|Visits of state|~|Royal households--Great Britain",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn5z5w/manifest
ark:/21198/z1dr4ngv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Christmas Festival with the Cecilian Singers,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612vwv,Ephemera Collection,,"December 19, 1974",1974-12-19,13.1939,59.5432,"Program for Christmas music festival featuring the Cecilian Singers, conducted by Doris Provencal, held at the Ursuline Convent Hall.",21.3 cm x 13.6 cm,11 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box C-Ch,Cecilian Singers,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Christmas music|~|Arts and culture -- Music|~|Concerts|~|Choirs (Music),Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4ngv/manifest
ark:/21198/z1dr4nh9,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Whither Work? A Comparative Analysis of Women and Work in the Caribbean and Canada in the New Era of Globalization"": Lecture by Prof. Ann Denis",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68gv2,Ephemera Collection,,"March 8, 2001",2001-03-08,13.1939,59.5432,"Program for a lecture delivered by Prof. Ann Denis titled ""Whither Work? A Comparative Analyis of Women and Work in the Caribbean and Canada in the New Era of Globalization."" The event, celebrating International Women's Day, took place on March 8, 2001, at the Teaching Complex, University of West Indies, Cave Hill campus.",21.5 cm x 13.9 cm,4 pages,,Event programs|~|Lectures,,Collection C319|~|Box KQ|~|Folder 2,University of West Indies|~|Centre for Gender & Development Studies,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Women--Employment|~|International Women's Day|~|Women--West Indies,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4nh9/manifest
ark:/21198/z1dr4njr,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Federal Pageant in Honour of the Opening of the First Federal Parliament of the West Indies,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c55hbm,Ephemera Collection,,"April 22, 1958",1958-04-22,13.1939,59.5432,"Booklet containing the program and information for the Federal Pageant in honor of the opening of the first Federal Parliament of the West Indies by Princess Margaret. The event took place at the Garrison Savannah on April 22, 1958, under the patronage of Governor Sir Robert Arundell and Lady Arundell.",22.9 cm x 15.1 cm,13 pages,,programs (documents)|~|booklets,,Collection C320|~|Box UY|~|Folder 4,West Indies Federation,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Inauguration|~|Anniversaries|~|Commonwealth countries|~|West Indies, British--Politics and government",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4njr/manifest
ark:/21198/z1dv3bvq,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,First International Tour: Symphony Orchestra of Puerto Rico,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx97h8,Ephemera Collection,,"November 27, 1966",1966-11-27,13.1939,59.5432,"First International tour or the Symphony Orchestra of Puerto Rico held on November 27, 1966. Contains message from the governor of Puerto Rico and the maestro, programme of events, notes on selected pieces of music, and information on composition of orchestra.",23 cm x 16 cm,8 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box A-B|~|Folder 5,Government of Barbados|~|Festival Casals of Puerto Rico|~|The Ford Foundation,,,Barbados,Government of Barbados; Festival Casals of Puerto Rico; The Ford Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concert tours|~|Symphony orchestras,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3bvq/manifest
ark:/21198/z1dv3bw5,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Blessed and Highly Favoured"": Services and Celebration",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5gq4,Ephemera Collection,,Between 1990 and 2010,1990/2010,13.1939,59.5432,"Program entitled ""Blessed and Highly Favoured"" in tribute to Apostle Lucille Baird. Apostle Lucille Baird J.P. is the founder, CEO and Senior Pastor of Mount Zion's Missions Barbados Foursquare Church. She manages four ministries in Barbados and is the covering apostle for several ministries across the Caribbean and Africa.",21.6 x 12.8 cm,1 page,,fliers (printed matter),,Collection C319|~|Box C-Ch,Mount Zion's Missions,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Missionary Work|~|Church|~|Church services|~|Women,,20th century/21st century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3bw5/manifest
ark:/21198/z1dv3bxm,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,National Cultural Foundation Presents the ESSO Arts Festival 1985,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4zft,Ephemera Collection,,1985,1985,13.1939,59.5432,Booklet for the ESSO Arts Festival in 1985 organized by the National Cultural Foundation. The National Cultural Foundation (NCF) is a statutory body which was established by an Act of Parliament in 1983 to oversee the cultural landscape of Barbados.,21.5 x 28.5 cm,21 pages,,Program booklets,,Collection C319|~|Box D-F,National Cultural Foundation|~|ESSO Standard Oil Ltd.,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dance festivals|~|Art festivals,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3bxm/manifest
ark:/21198/z1dv3bz2,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Reception at Government House - Order of Event,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7xgp,Ephemera Collection,,"February 18, 1975",1975-02-18,13.1939,59.5432,"Document outlining details and order of activities during the reception at the Government House on February 18, 1975, on the occasion of the visit of Queen Elizabeth and the Duke of Edinburgh. The document also contains a list of individuals that were presented to the Queen and Prince Philip.",32.9 cm x 21.6 cm,6 pages,,Documents|~|Event programs,,Collection C319|~|Box KQ|~|Folder 20,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Visits of state|~|Royal visits|~|Dinners and dining,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3bz2/manifest
ark:/21198/z1dz22bb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,General Assembly Tercentenary Commemoration Meeting,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w87kk,Ephemera Collection,,"June 26, 1939",1939-06-26,13.1939,59.5432,"General Assembly 15th Tercentenary Commemoration Meeting (Fifteenth Meeting, Session 1939-40). Held on Monday, 26th June, 1939. Contains list of members and officers of the General Assembly, and the orders of the day (passing addresses and resolutions). The Parliament of Barbados, formerly referred to as the General Assembly, was established on 26th June, 1639 and is the third oldest in the Americas and amongst the oldest in the Commonwealth.",33.2 cm x 20.5 cm,3 pages,,programs (documents),,Collection C319|~|Box A-B|~|Folder 3,Barbados House of Assembly,,,Barbados,Barbados House of Assembly,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Politics,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz22bb/manifest
ark:/21198/z1dz22cs,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,25 Years of Crop Over: Embassy Pic-O-De Crop Semi-Finals and Malibu Party Monarch Finals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5g9f,Ephemera Collection,,"June 26, 1998",1998-06-26,13.1939,59.5432,"Program for the Embassy Pic-O-De Crop Semi-Finals and Malibu Party Monarch Finals held July 26, 1998 at East Coast Road. Pic-O-De-Crop and Party Monarch are two singing competitions held during the period of Crop Over. Pic-O-De-Crop is a calypso singing competition while Party Monarch is a soca singing competition.",27.8 cm x 21.7 cm,21 pages,,programs (documents),,Box Ci-Cz|~|Folder 9,National Cultural Foundation,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Carnival|~|Festivals|~|Foklore|~|Arts, Caribbean|~|Calypso (music)|~|Soca",Saint Andrew (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz22cs/manifest
ark:/21198/z1dz22d7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,International 4 Day Horse Show,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5b14,Ephemera Collection,,January 1967,1967-01,13.1939,59.5432,"Booklet for the International 4 Day Horse Show held on January 5-8, 1967, at Holders Hill, St. James. The booklet contains information about sponsors, jury, teams, and awards to be presented.",20.8 cm x 13.6 cm,8 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 12,Barbados Show Jumping Federation,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Horse shows|~|Horsemanship|~|Equestrianism|~|Horse riding,Saint James (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz22d7/manifest
ark:/21198/z1dz22fp,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Pianoforte Recital: Rainer Von Zastrow,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn83zs,Ephemera Collection,,"January 14, 1977",1977-01-14,13.1939,59.5432,"Brochure with the program for a pianoforte recital by Rainer Von Zastrow, organized by the Committee of Management of the Barbados Association for Mentally Retarded Children. The event took place at Harrison College Hall on January 14, 1977.",21.7 cm x 14.1 cm,8 pages,,Brochures|~|Concert programs,,Collection C319|~|Box KQ|~|Folder 16,Barbados Association for Mentally Retarded Children,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Recitals (music)|~|Piano,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz22fp/manifest
ark:/21198/z1dz22g4,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Is Town Say So""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60htt,Ephemera Collection,,October 1982,1982-10,13.1939,59.5432,"Booklet with the program and cast information for a play ""Is Town Say So"" with poet Paul Keens-Douglas and music by the Mighty Gabby, presented by Stage One Theatre Productions at Combermere School Hall on October 29 and 30, 1982.",27.8 cm x 20.2 cm,4 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 9,Stage One Theatre Productions,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|West Indian drama (English)|~|West Indian poetry (English),Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz22g4/manifest
ark:/21198/z1f20rq4,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados National Trust Special Service at St. Matthias Anglican Church,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0g61,Ephemera Collection,,"February 14, 1982",1982-02-14,13.1939,59.5432,"Program of the Barbados National Trust Special Service held at the St. Matthias Anglican Church, Hastings, Christ Church.",21.6 cm x 13.7 cm,7 pages,,programs (documents)|~|booklets,,Collection C319|~|Box C-Ch,Barbados National Trust,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Church services,Christ Church (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f20rq4/manifest
ark:/21198/z1f20rrk,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Samuel Jackman Prescod Polytechnic Ceremony for Graduating Students of 1988,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71fkf,Ephemera Collection,,"February 16, 1989",1989-02-16,13.1939,59.5432,"Booklet with program and details for Samuel Jackman Prescod Polytechnic school's graduation ceremony on February 16, 1989. Contains names of staff and students.",21.4 cm x 14.8 cm,27 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 7,Samuel Jackman Prescod Polytechnic,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,School graduation|~|Commencements|~|Graduation ceremonies,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f20rrk/manifest
ark:/21198/z1f20rs1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""As Time Goes By""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5prf,Ephemera Collection,,Between 1975 and 1985,1975/1985,13.1939,59.5432,"Brochure with the program and cast information for the play ""As Time Goes By"" by Mustapha Matura, presented by the Cave Hill Drama Group in the Arts Lecture Theatre, UWI Cave Hill, in the late '70s or early '80s.",22.8 cm x 18.1 cm,5 pages,,theater programs|~|brochures,,Collection C320|~|Box T|~|Folder 7,U.W.I. Cave Hill Drama Group,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Theater|~|Education -- Universities and colleges|~|University of the West Indies (Cave Hill, Barbados)|~|West Indian drama (English)|~|Socioeconomic conditions and development -- Social justice",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f20rs1/manifest
ark:/21198/z1f49g49,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,In The Castle Of My Skin,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6skd,Ephemera Collection,,1981,1981-01-01/1981-12-31,13.1939,59.5432,"Program of the theatrical production of George Lamming's novel ""In the Castle of My Skin."" The play was a Ministry of Culture production, and was Barbados' national presentation during CARIFESTA '81, performed at Combermere School. Caribbean Festival of Arts (CARIFESTA) was established in 1972 as a multi-disciplinary art festival held in different Caribbean countries to showcase the various talents throughout the region.",22.3 cm x 15.1 cm,19 pages,,theater programs,,Collection C319|~|Box C-Ch,Ministry of Education and Culture,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Carifesta|~|Barbados|~|Arts and culture -- Performing arts|~|Performing arts festivals|~|Education -- Universities and colleges|~|Socioeconomic conditions and development -- Social justice,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49g49/manifest
ark:/21198/z1f49g5r,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,10th Annual General Meeting of the Museums Association of the Caribbean,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2h1f,Ephemera Collection,,November 1998,1998-11-01,13.1939,59.5432,"The 10th general meeting of the Museums Association of the Caribbean was hosted by Barbados Museum & Historical Society at the Hotel PomMarine, Hastings, Barbados, on November 18-21, 1998.",21.5 cm x 13.9 cm,13 pages,,programs (documents),,Box Ci-Cz|~|Folder 4,Museums Association of the Caribean,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congress and conventions|~|Associations, institutions, etc.|~|Museums",Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49g5r/manifest
ark:/21198/z1f49g66,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Invitation to the Official Ceremony for the Handing Over of Dame Eugenia Charles' and the late Dame Nita Barrow's Papers,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb62xp,Ephemera Collection,,"September 19, 2002",2002-09-19,13.1939,59.5432,"Invitation by the Centre for Gender and Development Studies, University of the West Indies, Cave Hill campus, to the official ceremony for the handing over of Dame Eugenia Charles' and the late Dame Nita Barrow's papers for the project ""Caribbean Women: Catalysts for Change."" The event was held on September 19, 2002, at the Main Conference Room, UWI, Cave Hill campus.",9.5 cm x 12.5 cm,1 page,,Invitations,,Collection C319|~|Box KQ|~|Folder 12,University of the West Indies|~|Centre for Gender & Development Studies,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Women--Caribbean Area|~|Ceremonies|~|Cataloging of special collections in libraries|~|Libraries--Special collections,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49g66/manifest
