"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.permission","Name.creator","Subject","Name.subject","Editor","Subject.conceptTopic","Subject geographic","Title","Date.creation","Format.extent","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"East Asian Library","ark:/21198/z1pg3cb3","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_053.tif","53","","","","","","","","","","","","","","Page 53","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3cb3",""
"East Asian Library","ark:/21198/z1jq2mp8","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_054.tif","54","","","","","","","","","","","","","","Page 54","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2mp8",""
"East Asian Library","ark:/21198/z1dz1w1v","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_055.tif","55","","","","","","","","","","","","","","Page 55","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1w1v",""
"East Asian Library","ark:/21198/z196146g","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_056.tif","56","","","","","","","","","","","","","","Page 56","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz196146g",""
"East Asian Library","ark:/21198/z15f0cf9","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_057.tif","57","","","","","","","","","","","","","","Page 57","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0cf9",""
"East Asian Library","ark:/21198/z11n9mq1","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_058.tif","58","","","","","","","","","","","","","","Page 58","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9mq1",""
"East Asian Library","ark:/21198/z1ww94bg","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_059.tif","59","","","","","","","","","","","","","","Page 59","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww94bg",""
"East Asian Library","ark:/21198/z1s772zg","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_060.tif","60","","","","","","","","","","","","","","Page 60","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s772zg",""
"East Asian Library","ark:/21198/z1ng6bbh","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_061.tif","61","","","","","","","","","","","","","","Page 61","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6bbh",""
"East Asian Library","ark:/21198/z1hq5kn7","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_062.tif","62","","","","","","","","","","","","","","Page 62","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5kn7",""
"East Asian Library","ark:/21198/z1cz4tvm","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_063.tif","63","","","","","","","","","","","","","","Page 63","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz4tvm",""
"East Asian Library","ark:/21198/z1864323","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_064.tif","64","","","","","","","","","","","","","","Page 64","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864323",""
"East Asian Library","ark:/21198/z14f3bbc","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_065.tif","65","","","","","","","","","","","","","","Page 65","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3bbc",""
"East Asian Library","ark:/21198/z10p2kpj","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_066.tif","66","","","","","","","","","","","","","","Page 66","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2kpj",""
"East Asian Library","ark:/21198/z1w10sj0","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_067.tif","67","","","","","","","","","","","","","","Page 67","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10sj0",""
"East Asian Library","ark:/21198/z1r801x0","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_068.tif","68","","","","","","","","","","","","","","Page 68","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r801x0",""
"East Asian Library","ark:/21198/z1mg9964","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_069.tif","69","","","","","","","","","","","","","","Page 69","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9964",""
"East Asian Library","ark:/21198/z1gq8jdh","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_070.tif","70","","","","","","","","","","","","","","Page 70","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8jdh",""
"East Asian Library","ark:/21198/z1bz7snb","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_071.tif","71","","","","","","","","","","","","","","Page 71","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7snb",""
"East Asian Library","ark:/21198/z17671zr","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_072.tif","72","","","","","","","","","","","","","","Page 72","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17671zr",""
"East Asian Library","ark:/21198/z13f69bs","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_073.tif","73","","","","","","","","","","","","","","Page 73","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f69bs",""
"East Asian Library","ark:/21198/z1zs4h41","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_074.tif","74","","","","","","","","","","","","","","Page 74","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4h41",""
"East Asian Library","ark:/21198/z1v13rgh","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_075.tif","75","","","","","","","","","","","","","","Page 75","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13rgh",""
