"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gggb3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","53","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 15","Box_3_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gggb3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggk5z","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","54","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 16","Box_3_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggk5z/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggm2w","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","55","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 17","Box_3_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggm2w/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggrr5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","56","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 1","Box_4_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggrr5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggsbf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","57","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 2","Box_4_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggsbf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggv8c","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","58","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 3","Box_4_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggv8c/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggvzq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","59","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 4","Box_4_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggvzq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggw38","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","60","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 5","Box_4_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggw38/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggxwn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","61","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 6","Box_4_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggxwn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gh3qx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","62","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 7","Box_4_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gh3qx/manifest"
